Consumption,Region
13.84,South
11.13,South
13.04,South
15.96,South
8.12,South
6.75,South
13.93,South
9.82,South
9.51,South
8.4,South
9.24,South
9.22,South
11.82,South
5.7,South
10.49,South
9.69,South
8.85,South
13.18,South
7.06,South
7.21,South
10,South
7.93,South
10.23,South
9.11,South
6.86,South
11.91,South
8.71,South
5.53,South
9.22,South
11.18,South
7.88,South
8,South
8.53,South
8.34,South
7.49,South
9.69,South
7.09,South
7.7,South
8.78,South
10.11,South
9.89,South
11.07,South
11.73,South
10.78,South
11.28,South
10.39,South
12.14,South
6.04,South
8.78,South
9.03,South
12.96,South
8.32,South
9.56,South
10.47,South
14.04,South
11.46,South
9.49,South
10.67,South
8.41,South
9.31,South
6.9,South
8.18,South
8.59,South
11.22,South
14.61,South
7.13,West
8.06,West
7.13,West
6.89,West
8.78,West
8.51,West
12.87,West
10.51,West
8.44,West
5.78,West
11.3,West
7.74,West
8.52,West
12.5,West
10.36,West
6.14,West
5.13,West
9.66,West
14.75,West
8.34,West
8.46,West
11.12,West
9.34,West
7.85,West
6.37,West
10.45,West
8.34,West
10.71,West
9.3,West
14.58,West
13.01,West
10.02,West
7.71,West
10.6,West
8.74,West
10.42,West
9.38,West
8.23,West
10.92,West
8.6,West
7.97,West
10.14,West
11.3,West
9.7,West
7.6,West
7.5,West
7.65,West
11.78,West
12.4,West
13.1,West
7.71,West
8.6,West
11.14,West
8.25,West
8.3,West
13.34,West
13.12,West
7.76,West
6.44,West
5.55,West
7.31,West
11.04,West
10.53,West
7.12,West
9.32,West
9.89,West
9.91,West
9.44,West
11.45,West
11.19,West
11.22,West
10.33,West
5.63,West
11.89,West
9.91,West
12.87,West
8.06,West
11.82,West
7.69,West
7.93,West
10.64,West
13.29,West
10.49,West
11.49,West
9.08,West
6.97,West
10.8,West
8.51,West
11.94,West
11.54,West
10.77,West
7.61,West
3.91,West
1.55,West
12.5,West
9.3,West
10.6,West
7.14,West
12.71,West
8.01,West
8.72,West
3.5,West
11.18,West
9.34,West
6.61,West
11.72,West
11.54,West
11.21,West
7.75,West
8.21,West
4.77,West
10.46,West
11.59,West
